Date,Open,High,Low,Close,Adj Close,Volume
09/06/2016,98.5,99.989998,98.459999,99.650002,94.195511,26601400
10/06/2016,98.529999,99.349998,98.480003,98.830002,93.420403,31712900
13/06/2016,98.690002,99.120003,97.099998,97.339996,92.01194,38020500
14/06/2016,97.32,98.480003,96.75,97.459999,92.125389,31931900
15/06/2016,97.82,98.410004,97.029999,97.139999,91.822899,29445200
16/06/2016,96.449997,97.75,96.07,97.550003,92.210464,31326800
17/06/2016,96.620003,96.650002,95.300003,95.330002,90.111977,61008200
20/06/2016,96,96.57,95.029999,95.099998,89.894562,34411900
21/06/2016,94.940002,96.349998,94.68,95.910004,90.660217,35546400
22/06/2016,96.25,96.889999,95.349998,95.550003,90.319923,29219100
23/06/2016,95.940002,96.290001,95.25,96.099998,90.839828,32240200
24/06/2016,92.910004,94.660004,92.650002,93.400002,88.287621,75311400
27/06/2016,93,93.050003,91.5,92.040001,87.002052,45489600
28/06/2016,92.900002,93.660004,92.139999,93.589996,88.467209,40444900
29/06/2016,93.970001,94.550003,93.629997,94.400002,89.232864,36531000
